,bed,bath,sqft,type,lanudry,parking,cats,dogs,furnished,nosmoke,wheelchair,img,words,link
https://sfbay.craigslist.org/sby/apa/d/1bed-1-ba-available-now/6567546940.html,1BR , 1Ba,850ft2,apartment,5,5,1,0,1,1,0,8,424,https://sfbay.craigslist.org/sby/apa/d/1bed-1-ba-available-now/6567546940.html
https://sfbay.craigslist.org/sby/apa/d/1bed-1bath-with-amazing/6567546516.html,1BR , 1Ba,701ft2,apartment,5,5,1,1,0,1,0,13,294,https://sfbay.craigslist.org/sby/apa/d/1bed-1bath-with-amazing/6567546516.html
https://sfbay.craigslist.org/sby/apa/d/1bedroom-1bathroom-lease-here/6567681840.html,1BR , 1Ba,690ft2,apartment,5,4,1,1,0,1,0,13,245,https://sfbay.craigslist.org/sby/apa/d/1bedroom-1bathroom-lease-here/6567681840.html
https://sfbay.craigslist.org/sby/apa/d/1br-1ba-apt-lots-of-closets/6565693978.html,1BR , 1Ba,575ft2,apartment,2,4,1,0,0,0,0,9,262,https://sfbay.craigslist.org/sby/apa/d/1br-1ba-apt-lots-of-closets/6565693978.html
https://sfbay.craigslist.org/sby/apa/d/1br-apt-brand-new-appliances/6565524359.html,1BR , 1Ba,684ft2,apartment,2,4,1,0,0,0,0,12,231,https://sfbay.craigslist.org/sby/apa/d/1br-apt-brand-new-appliances/6565524359.html
https://sfbay.craigslist.org/sby/apa/d/1br1b-remarkable-value/6567542199.html,1BR , 1Ba,671ft2,apartment,5,4,1,1,0,1,1,8,198,https://sfbay.craigslist.org/sby/apa/d/1br1b-remarkable-value/6567542199.html
https://sfbay.craigslist.org/sby/apa/d/1x1-enjoy-the-beauty-of-san/6567669875.html,1BR , 1Ba,675ft2,apartment,2,4,0,0,0,1,0,5,69,https://sfbay.craigslist.org/sby/apa/d/1x1-enjoy-the-beauty-of-san/6567669875.html
https://sfbay.craigslist.org/sby/apa/d/1x1-now-available-steps-from/6567718751.html,1BR , 1Ba,900ft2,apartment,5,6,1,1,0,1,1,11,164,https://sfbay.craigslist.org/sby/apa/d/1x1-now-available-steps-from/6567718751.html
https://sfbay.craigslist.org/sby/apa/d/1x1-town-house-downstairs/6561476874.html,1BR , 1Ba,770ft2,townhouse,2,6,0,0,0,1,0,10,156,https://sfbay.craigslist.org/sby/apa/d/1x1-town-house-downstairs/6561476874.html
https://sfbay.craigslist.org/sby/apa/d/2-bed-1-bath-open-now-serene/6560009520.html,2BR , 1Ba,960ft2,apartment,5,4,0,0,0,1,0,12,274,https://sfbay.craigslist.org/sby/apa/d/2-bed-1-bath-open-now-serene/6560009520.html
https://sfbay.craigslist.org/sby/apa/d/2-bed-2-bath-1-story-house/6567693569.html,3BR , 2.5Ba,1080ft2,house,5,5,1,1,0,1,0,8,143,https://sfbay.craigslist.org/sby/apa/d/2-bed-2-bath-1-story-house/6567693569.html
https://sfbay.craigslist.org/sby/apa/d/2-bed-2-bath-courtyard-view/6567706652.html,2BR , 2Ba,850ft2,apartment,5,4,1,1,0,1,0,24,115,https://sfbay.craigslist.org/sby/apa/d/2-bed-2-bath-courtyard-view/6567706652.html
https://sfbay.craigslist.org/sby/apa/d/2-bed-2-bath-garage-parking-2/6563790397.html,2BR , 2Ba,1052ft2,apartment,5,5,1,1,0,1,0,3,121,https://sfbay.craigslist.org/sby/apa/d/2-bed-2-bath-garage-parking-2/6563790397.html
https://sfbay.craigslist.org/sby/apa/d/2-bed-2-bath-move-in-now/6567634798.html,2BR , 2Ba,850ft2,apartment,5,4,1,1,0,1,0,24,109,https://sfbay.craigslist.org/sby/apa/d/2-bed-2-bath-move-in-now/6567634798.html
