,title,link,hood,price,bed,bath,sqft,type,laundry,parking,cats,dogs,furnished,nosmoke,wheelchair,img,words,region
114,Beautiful two bedroom home with dramatic vaulted ceilings,https://sfbay.craigslist.org/sby/apa/d/beautiful-two-bedroom-home/6567692608.html,(san jose west),2700,2,2.0,,apartment,2,2,0,0,0,0,0,16,248,0
115,2 Bed/2 Bath 1 story House PLUS workshop with room + 1/2 bath,https://sfbay.craigslist.org/sby/apa/d/2-bed-2-bath-1-story-house/6567693569.html,(san jose west),3500,3,2.5,1080.0,house,5,5,1,1,0,1,0,8,143,0
116,Newly remodeled 2bedroom1bath apt for rent,https://sfbay.craigslist.org/sby/apa/d/newly-remodeled-2bedroom1bath/6567690285.html,(campbell),2495,2,1.0,820.0,apartment,4,4,0,0,0,1,0,11,93,0
117,Special promotion on this 1x1 with laundry room inside home !!!,https://sfbay.craigslist.org/sby/apa/d/special-promotion-on-this-1x1/6567688663.html,(santa clara),2826,1,1.0,796.0,apartment,5,4,1,1,0,1,0,4,223,0
118,"San Jose downtown, 2BR apt w/ Spacious living, Fully-equipped kitchen",https://sfbay.craigslist.org/sby/apa/d/san-jose-downtown-2br-apt/6560161361.html,(san jose downtown),2650,2,1.0,850.0,apartment,4,0,1,0,0,0,0,13,212,0
119,"Commute-friendly area, Santa Clara 1BR 1BA apt, New kitchen & bath!",https://sfbay.craigslist.org/sby/apa/d/commute-friendly-area-santa/6565761846.html,(santa clara),2095,1,1.0,750.0,apartment,2,4,1,0,0,0,0,13,250,0
120,2Bed x 1Bath: High Ceiling & Pergo Floor & Granite Counters &huge de,https://sfbay.craigslist.org/sby/apa/d/2bed-1bath-high-ceiling-pergo/6567685616.html,(san jose west),2450,2,1.0,1050.0,apartment,4,4,0,0,0,1,0,6,181,0
121,***Private Location W/ In-Home Washer & Dryer***,https://sfbay.craigslist.org/sby/apa/d/private-location-in-home/6567684841.html,(sunnyvale),2812,1,1.0,869.0,apartment,5,4,1,1,0,1,0,15,241,0
122,1Bedroom 1Bathroom Lease Here @Brookside Oaks Today !!,https://sfbay.craigslist.org/sby/apa/d/1bedroom-1bathroom-lease-here/6567681840.html,(sunnyvale),2705,1,1.0,690.0,apartment,5,4,1,1,0,1,0,13,245,0
123,Sunny Town Home With 3 Floors Of Luxury!,https://sfbay.craigslist.org/sby/apa/d/sunny-town-home-with-3-floors/6567679925.html,(san jose north),3271,2,2.5,955.0,apartment,5,5,1,1,0,1,1,11,221,0
124,"Big 2BD/1BA! CONTROLLED ACCESS, PARK LIKE SETTING!",https://sfbay.craigslist.org/sby/apa/d/big-2bd-1ba-controlled-access/6567679015.html,(mountain view),2750,2,1.0,862.0,apartment,2,4,0,0,0,0,0,7,296,0
125,"LEX Has Everything You Need, Join Us Today--Open House This Weekend!",https://sfbay.craigslist.org/sby/apa/d/lex-has-everything-you-need/6567678450.html,(san jose south),29903165,2,2.0,,apartment,5,6,1,1,0,1,1,15,166,0
126,"Enjoy Comfort, Convenience and Tranquility in a 1BD/1BA at Quail Ridge",https://sfbay.craigslist.org/sby/apa/d/enjoy-comfort-convenience-and/6567676682.html,(morgan hill),1895,1,1.0,733.0,apartment,2,4,0,0,0,0,0,9,311,0
127,Pet-Friendly 1BR/1BA Apt. Home Available with Great Amenities,https://sfbay.craigslist.org/sby/apa/d/pet-friendly-1br-1ba-apt-home/6567676271.html,(santa clara),2093,1,1.0,536.0,apartment,0,0,1,1,0,0,0,3,226,0
128,Looking for the PERFECT 1BD/1BA? Find it at Quail Ridge TODAY!,https://sfbay.craigslist.org/sby/apa/d/looking-for-the-perfect-1bd/6567676188.html,(morgan hill),1895,1,1.0,733.0,apartment,2,4,0,0,0,0,0,9,311,0
129,Amazing beautifully remodeled SFR in San Jose- Best value,https://sfbay.craigslist.org/sby/apa/d/amazing-beautifully-remodeled/6567674801.html,(san jose east),3175,3,2.0,1350.0,house,5,0,0,0,0,1,0,24,191,0
130,"Stainless Steel Appliances, Now Available, Professionally Managed",https://sfbay.craigslist.org/sby/apa/d/stainless-steel-appliances/6567674517.html,(san jose north),2735,1,1.0,675.0,apartment,5,0,1,1,0,0,0,13,60,0
131,"Where Luxury & Location Converge! Modern, Sleek, Green@ DOMUS",https://sfbay.craigslist.org/sby/apa/d/where-luxury-location/6567674109.html,(mountain view),3819,1,1.0,796.0,apartment,5,5,1,1,0,1,1,6,451,0
132,Contemporary and renovated! Great view!,https://sfbay.craigslist.org/sby/apa/d/contemporary-and-renovated/6567673711.html,(sunnyvale),2616,1,1.0,556.0,apartment,5,4,1,1,0,1,0,14,165,0
133,"No Upstairs Neighbors! 2 Bedroom Cottage - W/D, AC, Large Patio!",https://sfbay.craigslist.org/sby/apa/d/no-upstairs-neighbors-2/6567672926.html,(sunnyvale),3416,2,1.0,915.0,apartment,5,4,1,1,0,1,0,15,815,0
134,Over 998sqft 1 Bedroom W/Den Available April Move In! Come In Today!,https://sfbay.craigslist.org/sby/apa/d/over-998sqft-1-bedroom-den/6567671798.html,(san jose west),3982,1,1.0,999.0,apartment,5,5,1,1,0,1,0,14,204,0
135,Ready for BBQ season? 1st floor 1BDRM ready now with Patio! 149,https://sfbay.craigslist.org/sby/apa/d/ready-for-bbq-season-1st/6567669987.html,(san jose downtown),2436,1,1.0,769.0,apartment,5,4,1,1,0,1,1,9,247,0
136,Two bedroom  town home with great view and plenty of sunlight!,https://sfbay.craigslist.org/sby/apa/d/two-bedroom-town-home-with/6567665721.html,(sunnyvale),3424,2,2.5,1125.0,apartment,5,4,1,1,0,1,0,12,255,0
137,3 Bed/3 full bath townhome close to Willow Glenn and Campbell,https://sfbay.craigslist.org/sby/apa/d/3-bed-3-full-bath-townhome/6567665593.html,(willow glen / cambrian),3400,3,3.0,,townhouse,5,6,0,0,0,0,0,3,105,0
138,Bright Sun Shining Days Await You at LEX! Call or Stop in This Week for a Tour a,https://sfbay.craigslist.org/sby/apa/d/bright-sun-shining-days-await/6567664703.html,(san jose south),3015,2,2.0,,apartment,5,6,1,1,0,1,1,20,172,0
139,"Professionally managed, Covered parking available, Picnic area",https://sfbay.craigslist.org/sby/apa/d/professionally-managed/6567639982.html,(san jose south),2593,2,2.0,940.0,apartment,0,0,0,0,0,0,0,3,226,0
140,Cozy 1BD Located Conveniently In Our Lovely Courtyard! $250 Deposit!,https://sfbay.craigslist.org/sby/apa/d/cozy-1bd-located-conveniently/6567642273.html,(san jose south),2279,1,1.0,806.0,apartment,5,0,0,0,0,0,1,22,314,0
141,Need to move in now? Catch this last home at a great rate.,https://sfbay.craigslist.org/sby/apa/d/need-to-move-in-now-catch/6567658845.html,(cupertino),3451,2,2.0,1147.0,apartment,5,4,1,1,0,1,0,10,314,0
142,"Wood flooring, WD, AC, ceiling fan, granite cntrs, playground, fitness",https://sfbay.craigslist.org/sby/apa/d/wood-flooring-wd-ac-ceiling/6567658131.html,(santa clara),3095,2,2.0,1060.0,apartment,5,4,0,0,0,0,0,21,100,0
143,"Pool, 24hr Fitness, Great location close to Google and Apple shuttles",https://sfbay.craigslist.org/sby/apa/d/pool-24hr-fitness-great/6567657076.html,(santa clara),2495,1,1.0,765.0,apartment,2,0,0,0,0,0,0,18,101,0
144,SJSU New Designer Remodel w/ Granite & DISHWASHER  *** PHOTOS ***,https://sfbay.craigslist.org/sby/apa/d/sjsu-new-designer-remodel/6567654617.html,(san jose downtown),1695,1,1.0,,apartment,4,4,0,0,0,0,0,3,304,0
145,"1BR 1BA apt w/ lots of closets, West San Jose, Fully-equipped kitchen",https://sfbay.craigslist.org/sby/apa/d/1br-1ba-apt-lots-of-closets/6565693978.html,(san jose west),2095,1,1.0,575.0,apartment,2,4,1,0,0,0,0,9,262,0
146,Bright Large New Designer Granite Remodel - Gated Property *  BONUS *,https://sfbay.craigslist.org/sby/apa/d/bright-large-new-designer/6567655027.html,(san jose downtown),1795,1,1.0,,apartment,2,4,0,0,0,0,0,8,382,0
147,"0 Bed - 1 Bath, Spacious Closet, Balcony",https://sfbay.craigslist.org/sby/apa/d/0-bed-1-bath-spacious-closet/6567654534.html,,1820,0,1.0,395.0,apartment,0,0,0,0,0,0,0,9,174,0
148,"▶Just in: 2x2◀ Bright, Ideal location, Be Ready to Fall in LOVE",https://sfbay.craigslist.org/sby/apa/d/just-in-2x2-bright-ideal/6553804496.html,(cupertino),3450,2,2.0,1050.0,apartment,5,4,0,0,0,1,0,18,226,0
149,Location ➔ Convenience ➔ Relaxation,https://sfbay.craigslist.org/sby/apa/d/location-convenience/6540947767.html,(cupertino),3450,2,1.0,1050.0,apartment,5,4,0,0,0,1,0,16,236,0
150,"1 Bed - 1 Bath, BEAUTIFUL APARTMENT AVAILABLE NOW!!!",https://sfbay.craigslist.org/sby/apa/d/1-bed-1-bath-beautiful/6567652563.html,,2190,1,1.0,665.0,apartment,4,4,1,1,0,1,0,9,159,0
151,"Waterfall View, Peaceful Location, Ground Floor, Look & Lease Today!!",https://sfbay.craigslist.org/sby/apa/d/waterfall-view-peaceful/6567652216.html,(milpitas),2570,1,1.0,711.0,apartment,5,4,1,1,0,1,0,10,315,0
152,Immediate Move-In - 20th Floor w/ Mountain Views... Call Today!,https://sfbay.craigslist.org/sby/apa/d/immediate-move-in-20th-floor/6567650051.html,(san jose downtown),4486,2,2.0,1592.0,apartment,5,4,1,1,0,1,1,8,203,0
153,Charming 2BR/2BA in Preferred Location!,https://sfbay.craigslist.org/sby/apa/d/charming-2br-2ba-in-preferred/6567649679.html,(santa clara),3234,2,2.0,935.0,apartment,5,0,1,1,0,1,0,10,227,0
154,"$1,500 off on this wonderful 1b now available for you!",https://sfbay.craigslist.org/sby/apa/d/1500-off-on-this-wonderful-1b/6567647352.html,(santa clara),2743,1,1.0,735.0,apartment,5,4,1,1,0,1,0,4,221,0
155,Huge 1 Bedroom With A Den At Misora!!!!,https://sfbay.craigslist.org/sby/apa/d/huge-1-bedroom-with-den-at/6567643469.html,(san jose west),3894,1,1.0,994.0,apartment,5,5,1,1,0,1,0,9,279,0
156,Don't Miss Out On This One! 2BA 1BA Townhome With Attached Garage!,https://sfbay.craigslist.org/sby/apa/d/dont-miss-out-on-this-one-2ba/6567631015.html,(san jose south),3093,2,1.0,1051.0,apartment,5,6,0,0,0,0,0,18,314,0
157,So Much Living Space In This 1003 Sq. Ft. 1BD With Attached Garage!,https://sfbay.craigslist.org/sby/apa/d/so-much-living-space-in-this/6567634989.html,(san jose south),2581,1,1.0,1003.0,apartment,5,6,0,0,0,0,0,11,269,0
158,No One Above & Below You! 2BD 2.5 BA With Detached Garage!,https://sfbay.craigslist.org/sby/apa/d/no-one-above-below-you-2bd-25/6567640562.html,(san jose south),3126,2,2.5,1253.0,townhouse,5,5,0,0,0,0,0,24,298,0
159,"Wonderfully renovated home, ready to move into now!",https://sfbay.craigslist.org/sby/apa/d/wonderfully-renovated-home/6567639822.html,(sunnyvale),2534,1,1.0,600.0,apartment,5,4,1,1,1,0,0,7,230,0
160,Cambrian Duplex - 3 bed / 2 bath,https://sfbay.craigslist.org/sby/apa/d/cambrian-duplex-3-bed-2-bath/6561093914.html,(willow glen / cambrian),3295,3,2.0,1470.0,duplex,3,6,0,0,0,1,0,10,101,0
161,2 bed 2 bath Move In Now First Floor,https://sfbay.craigslist.org/sby/apa/d/2-bed-2-bath-move-in-now/6567634798.html,(campbell),2730,2,2.0,850.0,apartment,5,4,1,1,0,1,0,24,109,0
162,Modern 2-Story Home W/Gourmet Kitchen!,https://sfbay.craigslist.org/sby/apa/d/modern-2-story-home-gourmet/6567634193.html,(san jose north),2839,1,1.0,1001.0,apartment,5,5,1,1,0,1,1,10,276,0
163,"Gem in Cupertino Fooothills- Open House Saturday, 4/21, 10:00AM-2:00PM",https://sfbay.craigslist.org/sby/apa/d/gem-in-cupertino-fooothills/6565281914.html,(cupertino),2200,1,1.0,630.0,apartment,5,2,0,0,0,1,0,14,170,0
164,LETS GET READY FOR SUMMER! TOUR 1B|1B TODAY & MOVE IN JUNE!!,https://sfbay.craigslist.org/sby/apa/d/lets-get-ready-for-summer/6567631865.html,(san jose downtown),2420,1,1.0,642.0,apartment,5,0,1,1,0,1,0,15,438,0
165,Updated Downstairs 1/1 Apartment near Santana Row,https://sfbay.craigslist.org/sby/apa/d/updated-downstairs-1-1/6567631341.html,(san jose west),1695,1,1.0,600.0,apartment,2,4,0,0,0,1,0,9,220,0
166,Newer Apartment Home with all the extras + 2 weeks free,https://sfbay.craigslist.org/sby/apa/d/newer-apartment-home-with-all/6567621002.html,(willow glen / cambrian),2727,2,2.0,1065.0,apartment,5,5,1,1,0,1,1,23,385,0
167,House in Saratoga,https://sfbay.craigslist.org/sby/apa/d/house-in-saratoga/6556318507.html,(saratoga),4700,3,2.0,1300.0,apartment,5,2,1,1,0,0,0,7,50,0
168,Great Location! Great Deal! Move In Special Available!,https://sfbay.craigslist.org/sby/apa/d/great-location-great-deal/6567628754.html,(willow glen / cambrian),2895,3,2.0,1300.0,apartment,2,4,1,1,0,0,0,10,182,0
169,Fall in Love with our Beautiful Property- JUST IN!,https://sfbay.craigslist.org/sby/apa/d/fall-in-love-with-our/6554760864.html,(cupertino),3195,2,1.0,950.0,apartment,5,4,0,0,0,1,0,18,242,0
170,Studio Available! Ready To Move In!,https://sfbay.craigslist.org/sby/apa/d/studio-available-ready-to/6565704165.html,,2211,0,1.0,516.0,apartment,0,0,0,0,0,0,0,9,155,0
171,"Top 5th floor, Corner Home, 18' Ceilings, W/D, Extra 9x16 Loft space",https://sfbay.craigslist.org/sby/apa/d/top-5th-floor-corner-home-18/6561922750.html,(willow glen / cambrian),2454,1,1.0,812.0,apartment,5,5,1,1,0,1,1,24,465,0
172,"OPEN HOUSE Sun (4/22) 1:00~3:00 PM. Nice 3 br/2.5 ba, Single Milpitas",https://sfbay.craigslist.org/sby/apa/d/open-house-sunpm-nice-3-br-25/6567624759.html,(milpitas),3450,3,2.5,1500.0,house,5,6,0,0,0,1,0,15,257,0
173,1 BR Remodeled Unit Ready For Move-In!,https://sfbay.craigslist.org/sby/apa/d/1-br-remodeled-unit-ready-for/6561932480.html,(san jose west),1700,1,1.0,,apartment,4,4,0,0,0,0,0,6,45,0
174,"RENOVATED 1BD 1BA, with tons of closets! Top Floor!",https://sfbay.craigslist.org/sby/apa/d/renovated-1bd-1ba-with-tons/6567624381.html,(santa clara),2620,1,1.0,725.0,apartment,5,4,1,1,0,1,0,9,338,0
175,2B1B Apartment! Ground Floor! Washer And Dryer! Private Location!,https://sfbay.craigslist.org/sby/apa/d/2b1b-apartment-ground-floor/6567622706.html,(santa clara),2890,2,2.0,900.0,apartment,5,4,1,1,0,1,0,10,291,0
176,Upgraded 1BD~Great Commute Location~Ready NOW. Welcome! Come see it!,https://sfbay.craigslist.org/sby/apa/d/upgraded-1bdgreat-commute/6552948719.html,(san jose west),1995,1,1.0,,apartment,2,4,1,0,0,1,0,13,239,0
177,New Floors - Stainless Steel Appliances. Beautifully Crafted 1BD.,https://sfbay.craigslist.org/sby/apa/d/new-floors-stainless-steel/6564981125.html,(San Jose),1995,1,1.0,,apartment,2,4,1,0,0,1,0,15,249,0
178,Last 2BD/1.5BA Town Home W/ Corner Location!,https://sfbay.craigslist.org/sby/apa/d/last-2bd-15ba-town-home/6567620846.html,(san jose north),3221,2,1.5,918.0,apartment,5,5,1,1,0,1,1,12,219,0
179,"Berryessa Townhouse-Style Home for Rent! 4 BR,2.5 BA! Open House Today",https://sfbay.craigslist.org/sby/apa/d/berryessa-townhouse-style/6567620654.html,(san jose north),3100,4,2.5,1474.0,condo,5,4,0,0,0,1,0,14,195,0
180,"CORPORATE FURNISHED ARTIST HOME, LOS GATOS",https://sfbay.craigslist.org/sby/apa/d/corporate-furnished-artist/6567620502.html,(los gatos),7280,4,4.5,2528.0,house,2,2,0,0,1,1,0,24,193,0
181,"Remodeled 2BR 1.5BA apt, Hardwood-style floors, Near shopping & dining",https://sfbay.craigslist.org/sby/apa/d/remodeled-2br-15ba-apt/6563757508.html,(cupertino),2562,2,1.5,840.0,apartment,2,4,1,0,0,0,0,11,223,0
182,Newly Renovated Affordable Studio,https://sfbay.craigslist.org/sby/apa/d/newly-renovated-affordable/6567618681.html,(san jose south),1550,0,1.0,350.0,in-law,2,3,0,0,0,1,0,6,168,0
183,We're Here. Where are You? Large 2 bed 2 bath April 25th with W/D,https://sfbay.craigslist.org/sby/apa/d/were-here-where-are-you-large/6563683386.html,(West San Jose),2795,2,2.0,1052.0,apartment,5,5,1,1,0,1,0,3,131,0
184,"A chef's dream! More kitchen counter space, 1BR 1BA apt, NEW flooring",https://sfbay.craigslist.org/sby/apa/d/chefs-dream-more-kitchen/6565694038.html,(los gatos),2195,1,1.0,684.0,apartment,2,4,1,0,0,0,0,11,231,0
185,"Luxury Studios, One Bedrooms, and Two Bedroom Apartment Homes",https://sfbay.craigslist.org/sby/apa/d/luxury-studios-one-bedrooms/6567582443.html,(willow glen / cambrian),3050,1,1.0,818.0,apartment,5,6,1,1,0,1,1,6,83,0
186,1bath,https://sfbay.craigslist.org/sby/apa/d/1bath/6567615653.html,(san jose downtown),1650,1,1.0,,apartment,4,3,0,0,0,1,0,7,79,0
187,1Bath Luxury Apartment !! *Fully Furnished Available For Move in!1,https://sfbay.craigslist.org/sby/apa/d/1bath-luxury-apartment-fully/6567588439.html,(san jose downtown),3199,1,1.0,1060.0,apartment,5,0,0,0,0,1,0,10,203,0
188,The Grove Garden is waiting for you!,https://sfbay.craigslist.org/sby/apa/d/the-grove-garden-is-waiting/6567615262.html,(sunnyvale),2591,1,1.0,659.0,apartment,5,4,1,1,0,1,0,8,271,0
189,The Grove and you are meant to be!,https://sfbay.craigslist.org/sby/apa/d/the-grove-and-you-are-meant/6567614697.html,(sunnyvale),3195,2,2.0,912.0,apartment,5,4,1,1,0,1,0,10,269,0
190,"2x2 @ Loft House - Beautiful View, Lots of Light, Comfortable Layout",https://sfbay.craigslist.org/sby/apa/d/2x2-loft-house-beautiful-view/6567614378.html,(sunnyvale),4588,2,2.0,1053.0,apartment,5,6,0,0,0,0,0,6,403,0
191,"Near Apple, Amazon, Starbucks, Cupertino Schools! Gardent Setting",https://sfbay.craigslist.org/sby/apa/d/near-apple-amazon-starbucks/6557516919.html,(cupertino),2695,1,1.0,770.0,apartment,2,4,0,0,0,0,0,17,201,0
192,"Gym, Pool,Wood flooring, granite counters, large storage, Spa, WD",https://sfbay.craigslist.org/sby/apa/d/gym-poolwood-flooring-granite/6561103162.html,(cupertino),3795,2,2.0,1005.0,apartment,5,4,0,0,0,0,0,17,103,0
193,ZEUS - Refined 1BR Apartment in Sunnyvale,https://sfbay.craigslist.org/sby/apa/d/zeus-refined-1br-apartment-in/6567598875.html,(sunnyvale),2940,1,1.0,550.0,apartment,2,4,1,1,1,1,0,9,270,0
194,A Top Floor Del Bellagio Is Available! $250 Deposit! Tour Today!,https://sfbay.craigslist.org/sby/apa/d/top-floor-del-bellagio-is/6567612443.html,(san jose south),2586,2,2.0,1178.0,apartment,5,5,1,1,0,0,0,24,329,0
195,Look No Further We Have This Amazing D/Stairs 2BD/2BA/Pool/Spa/Fitness,https://sfbay.craigslist.org/sby/apa/d/look-no-further-we-have-this/6567611473.html,(morgan hill),2580,2,2.0,901.0,apartment,5,4,1,1,0,0,0,7,206,0
196,Move-in May 9th and Get the home of your dreams...,https://sfbay.craigslist.org/sby/apa/d/move-in-may-9th-and-get-the/6567610491.html,(san jose south),2561,2,2.0,951.0,apartment,5,5,1,1,0,0,0,8,352,0
197,Extended Patio! Separate Storage Included! Apply Today And Save $799!,https://sfbay.craigslist.org/sby/apa/d/extended-patio-separate/6567610456.html,(san jose north),2600,1,1.0,683.0,apartment,5,5,1,1,0,1,1,5,477,0
198,"Upstairs Unit, Gleaming Pergo Flr, Short Distance to Dwntwn Los Gatos",https://sfbay.craigslist.org/sby/apa/d/upstairs-unit-gleaming-pergo/6567609253.html,(campbell),1895,1,1.0,708.0,apartment,2,4,0,0,0,1,0,9,176,0
199,Beautiful! Manhattan style Loft (Museum Park),https://sfbay.craigslist.org/sby/apa/d/beautiful-manhattan-style/6567608410.html,(san jose downtown),2623,1,1.5,1301.0,apartment,5,5,1,1,0,1,0,8,381,0
200,Mountain View cozy  suite,https://sfbay.craigslist.org/sby/apa/d/mountain-view-cozy-suite/6567607025.html,(mountain view),1843,1,1.0,400.0,apartment,0,2,0,0,0,1,0,9,42,0
201,"X-Large Bright Mins.Walk to Santana Row, Fine Dining, Public Transp.",https://sfbay.craigslist.org/sby/apa/d/large-bright-minswalk-to/6567605811.html,(san jose west),2349,2,1.0,1100.0,duplex,4,5,0,0,0,1,0,7,301,0
202,Elegant 2BR/2BA Apartment with Large Windows & Access to Swimming Pool,https://sfbay.craigslist.org/sby/apa/d/elegant-2br-2ba-apartment/6567604302.html,(san jose west),3697,2,2.0,,apartment,5,0,1,1,0,1,0,9,531,0
203,Specials Pricing At Levare This Weekend Only! Come In And See Yourself,https://sfbay.craigslist.org/sby/apa/d/specials-pricing-at-levare/6567601392.html,(san jose west),3714,1,1.0,907.0,apartment,5,5,1,1,0,1,0,14,208,0
204,Pet Friendly Community With Amazing Amenities!!!,https://sfbay.craigslist.org/sby/apa/d/pet-friendly-community-with/6567601326.html,(san jose north),3066,1,1.0,869.0,apartment,5,2,1,1,0,1,1,8,175,0
205,"On-Site maintenance, Balcony, Fitness Center, BBQ area, Open layout",https://sfbay.craigslist.org/sby/apa/d/on-site-maintenance-balcony/6567600947.html,(san jose north),2248,1,1.0,616.0,apartment,5,4,1,1,0,0,0,3,368,0
206,Gorgeous 1 Bedroom 1 Bath!! Dont miss out! Lowest rent in Campbell!,https://sfbay.craigslist.org/sby/apa/d/gorgeous-1-bedroom-1-bath/6567600891.html,(campbell),1895,1,1.0,550.0,apartment,2,4,0,1,0,1,0,11,332,0
207,3BR*BRAND NEW Modern Luxury Living* Only This Weekend Special!!,https://sfbay.craigslist.org/sby/apa/d/3brbrand-new-modern-luxury/6567589504.html,(san jose downtown),3799,3,3.0,1800.0,apartment,5,5,1,1,1,1,0,9,203,0
208,ViO- World Class Apartments 2 bed 2 bath available today!,https://sfbay.craigslist.org/sby/apa/d/vio-world-class-apartments-2/6567591673.html,(san jose south),2875,2,2.0,1166.0,apartment,5,0,1,1,0,1,0,10,302,0
209,Spacious 2 Bedroom In The Heart Of Downtown!,https://sfbay.craigslist.org/sby/apa/d/spacious-2-bedroom-in-the/6567516695.html,(sunnyvale),5100,2,2.0,1116.0,apartment,0,0,1,1,0,1,1,6,347,0
210,One Month Free. Call For Details! Cherry Chase Elementary,https://sfbay.craigslist.org/sby/apa/d/one-month-free-call-for/6561357652.html,(sunnyvale),2345,1,1.0,560.0,apartment,2,2,0,0,0,0,0,17,121,0
211,Beautiful 2BR & 2BA Apartment with Amazing Amenities Available Now!!!,https://sfbay.craigslist.org/sby/apa/d/beautiful-2br-2ba-apartment/6567597706.html,(sunnyvale),3845,2,2.0,1000.0,apartment,5,4,1,1,0,1,0,6,230,0
212,Beautiful House in Great Neighborhood,https://sfbay.craigslist.org/sby/apa/d/beautiful-house-in-great/6567597478.html,(mountain view),4950,3,2.0,1850.0,house,5,6,0,0,0,1,0,15,217,0
213,Great Blossom Valley Location!! Must see!!,https://sfbay.craigslist.org/sby/apa/d/great-blossom-valley-location/6558748681.html,(san jose south),3950,4,2.5,1800.0,house,5,6,0,0,0,1,0,5,111,0
214,Planked Flooring One Bedroom!! Ready to Rent!,https://sfbay.craigslist.org/sby/apa/d/planked-flooring-one-bedroom/6567596071.html,(san jose downtown),2495,1,1.0,650.0,apartment,4,5,1,1,0,0,0,9,169,0
215,Gorgeous 2 Bedroom 1 bath,https://sfbay.craigslist.org/sby/apa/d/gorgeous-2-bedroom-1-bath/6567595469.html,(sunnyvale),2475,2,2.0,900.0,apartment,0,0,1,1,0,0,0,2,241,0
216,Perfect for Roomates💸Move In Special🚎by the VTA,https://sfbay.craigslist.org/sby/apa/d/perfect-for-roomatesmove-in/6560947239.html,(san jose downtown),3130,2,2.0,1242.0,apartment,5,4,1,1,0,1,0,4,107,0
217,Spacious Corner 2 Bed 2 Bath Apartment Available,https://sfbay.craigslist.org/sby/apa/d/spacious-corner-2-bed-2-bath/6548371248.html,(campbell),2700,2,2.0,1012.0,apartment,2,4,1,1,0,0,0,7,148,0
218,Bright Spacious One Bedroom Available NOW!!,https://sfbay.craigslist.org/sby/apa/d/bright-spacious-one-bedroom/6567592411.html,(san jose downtown),2710,1,1.0,700.0,apartment,4,5,1,1,0,0,0,9,189,0
219,Spacious Studio available,https://sfbay.craigslist.org/sby/apa/d/spacious-studio-available/6560772061.html,(campbell),1750,0,1.0,400.0,apartment,2,4,1,1,0,0,0,2,107,0
220,"EXEC SUITE, QUIET AREA, JACUZZI TUB, WASHER/DRYER. UTILITIES INCLUDED",https://sfbay.craigslist.org/sby/apa/d/exec-suite-quiet-area-jacuzzi/6541681536.html,(san jose downtown),3950,2,1.0,1000.0,flat,5,2,0,0,1,1,0,9,320,0
221,"Fantastic Kitchen, New Appliances and Fabulous Patio",https://sfbay.craigslist.org/sby/apa/d/fantastic-kitchen-new/6567590263.html,(sunnyvale),2555,1,1.0,528.0,apartment,5,4,1,1,0,1,0,6,212,0
222,PAVONA APARTMENTS IS OPEN 7 DAYS A WEEK! SCHEDULE YOUR SUNDAY TOUR!,https://sfbay.craigslist.org/sby/apa/d/pavona-apartments-is-open-7/6567589735.html,(san jose downtown),2415,1,1.0,642.0,apartment,5,0,1,1,0,0,0,17,439,0
223,Large classic 1 bed 1 bath apartment available soon,https://sfbay.craigslist.org/sby/apa/d/large-classic-1-bed-1-bath/6567588909.html,(mountain view),2660,1,1.0,748.0,apartment,2,4,1,1,0,1,0,15,82,0
224,SJ Downtown Studio,https://sfbay.craigslist.org/sby/apa/d/sj-downtown-studio/6555939072.html,(san jose downtown),1550,0,1.0,500.0,apartment,2,1,0,0,0,1,0,4,142,0
225,Studio in SOFA District DT SJ,https://sfbay.craigslist.org/sby/apa/d/studio-in-sofa-district-dt-sj/6550819033.html,(san jose downtown),1550,0,1.0,500.0,apartment,2,1,0,0,0,1,0,4,153,0
226,Great Apartment for Moviegoers & Gamers No Glare with Den!,https://sfbay.craigslist.org/sby/apa/d/great-apartment-for/6567587704.html,(san jose north),2822,1,1.0,885.0,apartment,5,4,1,1,0,1,1,13,247,0
227,ViO -Modern Living ! High Quality 1 bedrooms for a low price!,https://sfbay.craigslist.org/sby/apa/d/vio-modern-living-high/6567587408.html,(san jose south),2300,1,1.0,817.0,apartment,5,0,1,1,0,1,0,8,270,0
228,Live in Your Dream Home in This 1BR/1BA Apartment! MOVE IN 5/8!,https://sfbay.craigslist.org/sby/apa/d/live-in-your-dream-home-in/6567587072.html,(cupertino),2259,1,1.0,750.0,apartment,2,4,1,1,0,1,0,11,411,0
229,2Bath Fully Furnished Luxury APT available   March Move in!!,https://sfbay.craigslist.org/sby/apa/d/2bath-fully-furnished-luxury/6567587003.html,(san jose downtown),4199,2,2.0,1060.0,apartment,5,0,0,1,0,0,0,15,203,0
230,"COZY FRONT UNIT  2BEDROOMS, 1 FULL BATHROOM , LIVING RM, KITCHEN",https://sfbay.craigslist.org/sby/apa/d/cozy-front-unit-2bedrooms-1/6567586830.html,(san jose north),2500,2,1.0,,house,2,3,0,0,1,0,0,6,105,0
231,Lovely Manhattan style Loft with private den (Museum Park),https://sfbay.craigslist.org/sby/apa/d/lovely-manhattan-style-loft/6567586783.html,(san jose downtown),3006,1,1.5,1301.0,apartment,5,5,1,1,0,1,0,8,381,0
